Size,Time
500000000,0.269631
500000000,0.274970
500000000,0.300228
500000000,0.272707
500000000,0.274191
500000000,0.269744
500000000,0.284518
500000000,0.261734
500000000,0.277963
500000000,0.328932
500000000,0.264251
500000000,0.259263
500000000,0.266849
500000000,0.274636
500000000,0.269799
500000000,0.280011
500000000,0.268863
900000000,0.516701
900000000,0.511961
900000000,0.468811
900000000,0.482585
900000000,0.503630
900000000,0.507105
900000000,0.529451
900000000,0.493923
900000000,0.506577
900000000,0.514143
900000000,0.716415
900000000,0.577862
900000000,0.500487
900000000,0.481931
900000000,0.478038
900000000,0.476232
900000000,0.473810
900000000,0.473202
900000000,0.466347
900000000,0.502062
900000000,0.522337
900000000,0.472460
900000000,0.471714
900000000,0.476730
900000000,0.488130
900000000,0.467997
900000000,0.474107
900000000,0.507142
900000000,0.466004
900000000,0.466105
900000000,0.481048
900000000,0.467919
900000000,0.493765
900000000,0.469353
900000000,0.479617
900000000,0.466993
900000000,0.474837
900000000,0.465322
900000000,0.480556
900000000,0.493875
900000000,0.479335
900000000,0.482222
900000000,0.471286
900000000,0.466704
900000000,0.476435
900000000,0.508295
900000000,0.471364
900000000,0.470432
900000000,0.518932
900000000,0.512629
900000000,0.479678
900000000,0.468359
900000000,0.468628
900000000,0.476478
900000000,0.467224
900000000,0.498495
900000000,0.477650
900000000,0.476072
900000000,0.486991
900000000,0.472199
900000000,0.479861
900000000,0.466540
900000000,0.467299
900000000,0.466231
900000000,0.470117
900000000,0.472980
900000000,0.498105
900000000,0.474989
900000000,0.465674
900000000,0.464151
900000000,0.464744
900000000,0.480032
900000000,0.473129
900000000,0.530610
900000000,0.466622
900000000,0.469728
900000000,0.470809
900000000,0.477145
900000000,0.477797
900000000,0.520214
900000000,0.488922
900000000,0.478553
900000000,0.482224
900000000,0.472823
900000000,0.496689
900000000,0.467841
900000000,0.466773
900000000,0.489543
900000000,0.484185
900000000,0.471700
900000000,0.502647
900000000,0.521730
900000000,0.476686
900000000,0.467090
900000000,0.471356
900000000,0.467595
900000000,0.470212
900000000,0.468292
900000000,0.479649
900000000,0.479430
